parish,classification,selected_tiles,children_in_selected,potentially_impacted_poor_children_34kt,potentially_impacted_poor_children_50kt,potentially_impacted_poor_children_64kt
Clarendon,Rural,141,34125.970062222565,11956,773,340
Hanover,Rural,55,6783.128958750516,4091,810,280
Kingston,KMA,1,4481.383773803711,986,0,0
Manchester,Rural,71,13005.771296590567,4441,342,41
Portland,Rural,135,11829.746719360352,2701,39,4
Saint Andrew,KMA,72,60522.71524770558,13374,102,0
Saint Ann,Rural,141,17372.398458972573,6938,615,2
Saint Catherine,Rural,125,38926.63826717809,9995,516,134
Saint Elizabeth,Rural,130,19727.352164506912,9582,1264,263
Saint James,Rural,56,7001.641773819923,3464,700,219
Saint Mary,Rural,82,13343.516887940466,4284,290,0
Saint Thomas,Rural,125,16745.502898544073,4570,50,0
Trelawny,Rural,113,7418.888926565647,3188,539,111
Westmoreland,Rural,84,13723.579456582665,6615,1069,397
